"Download Field Descriptions","...2","...3","...4"
"sample_food",NA,"A food that is acquired as a representative sample of the food supply. It may be created from a single acquired food, or from a composite of multiple acquired foods.",NA
NA,"fdc_id","ID of the food in the food table",NA
NA,NA,NA,NA
"sr_legacy_food",NA,"Foods from the April 2018 release of the USDA National Nutrient Database for Standard Reference. Nutrient and food component values are derived from chemical analysis and calculation.",NA
NA,"fdc_id","ID of the food in the food table",NA
NA,"NDB_number","Unique number assigned for final food, starts from the minimum number of 100,000",NA
NA,NA,NA,NA
"sub_sample_food",NA,"A portion of a sample food used for the purpose of specific chemical analysis.",NA
NA,"fdc_id","ID of the food in the food table",NA
NA,"fdc_id_of_sample_food","ID of the sample food from which the sub sample originated",NA
NA,NA,NA,NA
"sub_sample_result",NA,"The result of chemical analysis of a lab on a particular sub sample for a particular nutrient",NA
NA,"food_nutrient_id","Unique ID for row, same as the food_nutrient ID",NA
NA,"adjusted_amount","Amount after adjusting for unit",NA
NA,"lab_method_id","ID of the lab method used to measure the nutrient",NA
NA,"nutrient_name","The name of the nutrient as supplied by the lab",NA
NA,NA,NA,NA
"survey_fndds_food",NA,"Foods whose consumption is measured by the What We Eat In America dietary survey component of the National Health and Nutrition Examination Survey (NHANES). Survey nutrient values are usually calculated from Branded and SR Legacy data.",NA
NA,"fdc_id","ID of the food in the food table",NA
NA,"food_code","A unique ID identifying the food within FNDDS",NA
NA,"wweia_category_code","Unique Identification code for WWEIA food category to which this food is assigned","Food Category"
NA,"start_date","Start date indicates time period corresponding to WWEIA data",NA
NA,"end_date","End date indicates time period corresponding to WWEIA data",NA
NA,NA,NA,NA
"wweia_food_category",NA,"Food categories for fndds",NA
NA,"wweia_food_category_code","Unique identification code",NA
NA,"wweia_food_category_description","Description for a WWEIA Category",NA
